    "Content-UUID","URL","List-Option","List-Option-Definition","Unit-of-Measure","Related-Term","Related-Term-UUID","Sector","Updated-Date"
"98764541-f123-40da-8289-383383e0e14c","https://bedes.lbl.gov/node/98764541-f123-40da-8289-383383e0e14c","$","US dollars","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"3cc55545-8fb8-44ef-ac65-bc8377859ec3","https://bedes.lbl.gov/node/3cc55545-8fb8-44ef-ac65-bc8377859ec3","$/(Btu/hr-F)","US dollars per British thermal unit per hour-degree Fahrenheit","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"22323976-c0e5-4384-85f5-b5ad2113f5e5","https://bedes.lbl.gov/node/22323976-c0e5-4384-85f5-b5ad2113f5e5","$/(ft3/min)","US dollars per cubic foot per minute","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"49cacd7f-ec33-4b3a-8103-a5b3536e5dc9","https://bedes.lbl.gov/node/49cacd7f-ec33-4b3a-8103-a5b3536e5dc9","$/(gal/day)","US dollars per gallon per day","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2020-03-17 12:37:04"
"ceda9150-5aba-4326-97e5-33a26c8e5e35","https://bedes.lbl.gov/node/ceda9150-5aba-4326-97e5-33a26c8e5e35","$/(kBtu/hr)","US dollars per thousand British thermal units per hour","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"d9d3c42c-8895-4c63-936f-3eaf15f207f4","https://bedes.lbl.gov/node/d9d3c42c-8895-4c63-936f-3eaf15f207f4","$/(kW-C)","US dollars per kilowatt-degree Celsius","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2019-11-26 17:24:58"
"6dd3f0f4-3a9e-4303-a350-763756405606","https://bedes.lbl.gov/node/6dd3f0f4-3a9e-4303-a350-763756405606","$/(L/day)","US dollars per liter per day","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2020-03-17 12:37:57"
"e7c0d2b6-4983-4a77-b6ce-a2b963a1c992","https://bedes.lbl.gov/node/e7c0d2b6-4983-4a77-b6ce-a2b963a1c992","$/(m3/s)","US dollars per cubic meter per second","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2019-11-26 17:24:58"
"cb63d279-aaac-46c6-8c86-d9ab9cd54ff3","https://bedes.lbl.gov/node/cb63d279-aaac-46c6-8c86-d9ab9cd54ff3","$/ft2","US dollars per square foot","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"9bbd8166-3e18-4ba5-ae43-318f4fd605a5","https://bedes.lbl.gov/node/9bbd8166-3e18-4ba5-ae43-318f4fd605a5","$/ft3","US dollars per cubic foot","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"a3b5ee77-b91f-446b-921e-092d50d76a62","https://bedes.lbl.gov/node/a3b5ee77-b91f-446b-921e-092d50d76a62","$/kBtu","US dollars per thousand British thermal units","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2019-11-26 17:24:58"
"854e00f6-0127-4ea6-8bb3-2686546cb8a2","https://bedes.lbl.gov/node/854e00f6-0127-4ea6-8bb3-2686546cb8a2","$/kVAR","US dollars per volt-ampere reactive (reactive power)","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"bef14485-076d-4998-a0f3-be72db8f121a","https://bedes.lbl.gov/node/bef14485-076d-4998-a0f3-be72db8f121a","$/kW","US dollars per kilowatt","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"cdbc8a5c-560b-453a-84bc-1a7fc424ed0c","https://bedes.lbl.gov/node/cdbc8a5c-560b-453a-84bc-1a7fc424ed0c","$/kWh","US dollars per thousand watt-hours","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","Commercial, Residential, Multifamily","2019-11-26 17:19:17"
"70b773a8-8235-4f99-9811-564d68fe6412","https://bedes.lbl.gov/node/70b773a8-8235-4f99-9811-564d68fe6412","$/m2","US dollars per square meter","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2019-11-26 17:24:58"
"8c2c7be8-e92b-44a6-88cc-7d98f919d32d","https://bedes.lbl.gov/node/8c2c7be8-e92b-44a6-88cc-7d98f919d32d","$/m3","US dollars per cubic meter","","Unit Of Measure","10645e3b-270a-4251-8153-36017540d539","","2019-11-26 17:24:58"
"3d986910-fcb2-405b-ae98-a7575cb931f0","https://bedes.lbl.gov/node/3d986910-fcb2-405b-ae98-a7575cb931f0","1","California Title 24 representative city of Arcata. IECC Zone. CBECS zone.","N/A","Climate Zone","af2178d7-3ed1-456d-af87-3decc69dd233","Commercial, Residential, Multifamily","2019-11-26 17:07:16"
"6b302858-ae82-4c26-b7fd-8399b0d2ad75","https://bedes.lbl.gov/node/6b302858-ae82-4c26-b7fd-8399b0d2ad75","1","At 10 m: WPD: 0-100 W/m^2; Speed: 0-4.4 m/s. At 50 m: WPD: 0-200 W/m^2; Speed: 0-5.6 m/s","N/A","NREL Wind CLASS","eff40005-3507-479d-a6ec-1f56519878f1","Commercial, Residential, Multifamily","2019-11-26 17:07:14"
